Title,Parallel,Type,Rarity,Edition Size,Description,Ability,Cost,Attack,Health,Image URL,Token ID,Artist,mp_img_url
A.E.G.I.S. Generator,Augencore,Upgrade,Rare,"3,500","Augmented Energy Guard Individual System, the AEGIS. One of the Augencore’s most vital inventions for survival in a hostile world.","At the end of your turn, upgraded unit gains +0/+2 and Shielded.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AEGISGenerator/Agc_AEGISGenerator_Non_Rar_Fe_Img.png,10945,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AEGISGenerator/Agc_AEGISGenerator_Non_Prm_Mp_Img.png
"Akara, Rebel General",Universal,Unit,Legendary,"1,000","“6 years I groveled in the Marcolian Academies, and for what? I quit and became a god. I spit on my former so called comrades.”",Muster: Deal damage to the enemy and heal yourself equal to the number of friendly units on the field.,5,3.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_AkaraRebelGeneral/Unv_AkaraRebelGeneral_Non_Lgn_Fe_Img.png,10947,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_AkaraRebelGeneral/Unv_AkaraRebelGeneral_Non_Prm_Mp_Img.png
Anti-Organic Pulse,Augencore,Effect,Rare,"3,500","Most Augencore are loath to employ such devastating measures. For Arak, everything is a means to an end.",Destroy all non-upgraded units.,8,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AntiOrganicPulse/Agc_AntiOrganicPulse_Non_Rar_Fe_Img.png,10949,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_AntiOrganicPulse/Agc_AntiOrganicPulse_Non_Prm_Mp_Img.png
Bionic Tweaker,Augencore,Unit,Common,"60,000","50% off of Ballistic Implants today! If you survive it malfunctioning, money back guarantee!","Muster: Target friendly upgraded unit gains one:
Armed
Defender
Salvage 1",3,2.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_BionicTweaker/Agc_BionicTweaker_Non_Cmn_Fe_Img.png,10951,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_BionicTweaker/Agc_BionicTweaker_Non_Prm_Mp_Img.png
Black Market Smuggler,Universal,Unit,Common,"60,000","Anything, anywhere. The Black Market is hard to beat for convenience.",Muster: Gain control of target enemy relic.,6,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_BlackMarketSmuggler/Unv_BlackMarketSmuggler_Non_Cmn_Fe_Img.png,10953,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_BlackMarketSmuggler/Unv_BlackMarketSmuggler_Non_Prm_Mp_Img.png
Chem-Crazed Bruiser,Universal,Unit,Common,"60,000","A veritable cocktail of combat enhancing substances, straight into the bloodstream. Useful in tight situations, not so much in diplomacy.","Muster: This unit gains 3 counters.
If this unit would take damage, remove a counter instead.
After this unit has no counters, destroy it.",7,8.0,7.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ChemCrazedBruiser/Unv_ChemCrazedBruiser_Non_Cmn_Fe_Img.png,10955,@TAEHOONPARK9,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ChemCrazedBruiser/Unv_ChemCrazedBruiser_Non_Prm_Mp_Vid.gif
Desperate Measures,Marcolian,Effect,Common,"60,000",Desperate times have always called for these.,Waste a friendly banked card. Deal damage equal to its cost to target enemy unit.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_DesperateMeasures/Mcl_DesperateMeasures_Non_Cmn_Fe_Img.png,10958,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_DesperateMeasures/Mcl_DesperateMeasures_Non_Prm_Mp_Img.png
Echelon Heavy,Universal,Unit,Common,"60,000","“Ah, I see you’ve met my business associate, Mr. Knuckles. Don’t worry about him, he will be a silent partner unless there’s any reason for him to become involved…”",Aftermath: You may deal 1 damage to target unit.,2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_EchelonHeavy/Unv_EchelonHeavy_Non_Cmn_Fe_Img.png,10960,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_EchelonHeavy/Unv_EchelonHeavy_Non_Prm_Mp_Img.png
Elite Sharpshooter,Marcolian,Unit,Rare,"3,500","“Of course, a Warden is accurate. But I’d trust one Marcolian Sniper over ten drones any day.” - Catherine Lapointe, Marcolian General",Any unit dealt damage in combat by this unit is destroyed.,2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_EliteSharpshooter/Mcl_EliteSharpshooter_Non_Rar_Fe_Img.png,10962,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_EliteSharpshooter/Mcl_EliteSharpshooter_Non_Prm_Mp_Img.png
Engine Whisperer,Shroud,Unit,Common,"60,000","The engines of the New Dawn barely resemble those the ship launched with centuries ago. Legends say the New Dawn can appear at almost any place in the system instantaneously, though few escape to tell the tale.",Effects you play cost 1 less.,1,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EngineWhisperer/Shr_EngineWhisperer_Non_Cmn_Fe_Img.png,10964,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_EngineWhisperer/Shr_EngineWhisperer_Non_Prm_Mp_Img.png
Fire Everything!,Marcolian,Effect,Legendary,"1,000","“They believe they have the upper hand, Commander. I suggest we show them what Marcolian superiority truly is”.",Draw cards equal to the highest attack among friendly units. You may play effects drawn this way for free this turn.,5,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_FireEverything/Mcl_FireEverything_Non_Lgn_Fe_Img.png,10966,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_FireEverything/Mcl_FireEverything_Non_Prm_Mp_Img.png
Flurry Of Genius,Augencore,Effect,Legendary,"1,000","Never underestimate the Augencore’s resilience. You may think you dealt them a crushing defeat, to them, it was in fact a vital lesson.","Play all upgrades from your waste to friendly units, divided as you choose.",8,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_FlurryOfGenius/Agc_FlurryOfGenius_Non_Lgn_Fe_Img.png,10968,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_FlurryOfGenius/Agc_FlurryOfGenius_Non_Prm_Mp_Img.png
Formidable Presence,Earthen,Effect,Uncommon,"10,000",The Earthen are a peace loving kind. Meev’Tsar is the exception that proves the rule.,"Transform up to 3 friendly banked cards into 2/2 Bulwark Seeds with Battle Ready, and Defender, and put them onto the field. These units can not be damaged or destroyed. At the start of your next turn, transform the Bulwark Seeds back and return them to your bank. They don't give energy that turn.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_FormidablePresence/Ert_FormidablePresence_Non_Ucm_Fe_Img.png,10970,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_FormidablePresence/Ert_FormidablePresence_Non_Prm_Mp_Img.png
Gallian Recombinant,Kathari,Unit,Rare,"3,500","“Maritus may be one of a kind, but if she is the future of the Children of Europa. We must remake ourselves in her image just as we are made in Galli’s.” - Fourth Palm of Galli","Muster: Choose one:
Create a Recombinant Clone with target friendly unit's attack and health.
Create a 2/2 Recombinant Clone with target friendly non-paragon unit's abilities.",6,5.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GallianRecombinant/Kat_GallianRecombinant_Non_Rar_Fe_Img.png,10972,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_GallianRecombinant/Kat_GallianRecombinant_Non_Prm_Mp_Img.png
H.A.D.E.S. War Mech,Augencore,Unit,Rare,"3,500","The *Heavy Assault Designated Exoskeleton System*, piloted by augmented & expertly trained pilots, the H.A.D.E.S stands as a steadfast symbol of the Augencore’s might. The armament of each mech varies, as pilots customize theirs heavily from the stock loadout.","Upgrades you play on this unit cost 1.
On attack, also deal damage to the enemy equal to the number of upgrades attached to this unit.",5,5.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_HadesWarMech/Agc_HadesWarMech_Non_Rar_Fe_Img.png,10974,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_HadesWarMech/Agc_HadesWarMech_Non_Prm_Mp_Img.png
Hallowed Burial Ground,Earthen,Relic,Legendary,"1,000","Most Earthen do not fear death, for they know that even in their fall, they will sow the seeds of future life.","After a friendly unit with Decay is destroyed, create a Tombstone with 0 attack, health equal to the destroyed unit's cost, Defender, and Pacifist.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_HallowedBurialGround/Ert_HallowedBurialGround_Non_Lgn_Fe_Img.png,10976,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_HallowedBurialGround/Ert_HallowedBurialGround_Non_Prm_Mp_Img.png
Heavy Weapons Team,Marcolian,Unit,Common,"60,000","Trained to work in perfect unison, the crewmen of the Marcolian Artillery Corps are the finest, and most lethal, gunners in the system.","This unit can’t attack.
At the start of your turn, deal 1 damage to the enemy.",1,1.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_HeavyWeaponsTeam/Mcl_HeavyWeaponsTeam_Non_Cmn_Fe_Img.png,10978,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_HeavyWeaponsTeam/Mcl_HeavyWeaponsTeam_Non_Prm_Mp_Img.png
Infused Shaman,Earthen,Unit,Uncommon,"10,000","So skilled in the ways healing, the shaman can bring people back from the brink of death. But the cost… the earth demands balance.","Adjacent units have Decay.
Retaliate: Heal yourself for 1.",3,2.0,7.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_InfusedShaman/Ert_InfusedShaman_Non_Ucm_Fe_Img.png,10983,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_InfusedShaman/Ert_InfusedShaman_Non_Prm_Mp_Img.png
Innovative Apprentice,Augencore,Unit,Uncommon,"10,000","Ever learning, ever adapting. The future generations of the Augencore know they will be the ones to lead the way.","After an upgrade is attached to this unit, draw a card.",1,1.0,1.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_InnovativeApprentice/Agc_InnovativeApprentice_Non_Ucm_Fe_Img.png,10985,@_CHRISBJERRE,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_InnovativeApprentice/Agc_InnovativeApprentice_Non_Prm_Mp_Vid.gif
Iron Corps Quartermaster,Marcolian,Unit,Uncommon,"10,000","Every round accounted for, not a single laser cell out of place. The Iron Corps operates with no margin of error.","After an enemy banked card is revealed, you may put an effect from your waste into your hand.
Assault: Reveal an enemy banked card.",3,2.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_IronCorpsQuartermaster/Mcl_IronCorpsQuartermaster_Non_Ucm_Fe_Img.png,10988,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_IronCorpsQuartermaster/Mcl_IronCorpsQuartermaster_Non_Prm_Mp_Img.png
Power Instructor,Shroud,Unit,Uncommon,"10,000","He does not bestow gifts, but teaches others to recognize their own.","Muster: Choose a card in your deck, draw it, then shuffle your deck.",5,5.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_PowerInstructor/Shr_PowerInstructor_Non_Ucm_Fe_Img.png,10990,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_PowerInstructor/Shr_PowerInstructor_Non_Prm_Mp_Img.png
Reluctant Berserker,Earthen,Unit,Rare,"3,500","Every life is precious and yet they are willing to take without regard. Well, if it’s death they want then I will show it to them.","Pacifist
After this unit survives damage, it gains +3/+3.
As long as this unit's attack or health are above 4, it loses and can’t gain Pacifist.
After this unit’s attack or health becomes 10 or more, destroy it and deal 10 damage to each player.",3,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ReluctantBerserker/Ert_ReluctantBerserker_Non_Rar_Fe_Img.png,10992,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_ReluctantBerserker/Ert_ReluctantBerserker_Non_Prm_Mp_Img.png
Repurposed Arms,Augencore,Relic,Uncommon,"10,000","Their ancestors wielded Pitchfork & Scythe to war. Now, the Augencore march onwards with a similar resourcefulness.","Activate: Destroy target friendly upgrade and gain energy equal to half its cost, rounded down. Limit once per turn.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_RepurposedArms/Agc_RepurposedArms_Non_Ucm_Fe_Img.png,10994,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_RepurposedArms/Agc_RepurposedArms_Non_Prm_Mp_Img.png
Resourceful Smith,Augencore,Unit,Common,"60,000",One man’s trash is another man’s mechanical killing machine.,Muster: Target friendly unit gains Salvage 2.,2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ResourcefulSmith/Agc_ResourcefulSmith_Non_Cmn_Fe_Img.png,10996,@TAEHOONPARK9,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_ResourcefulSmith/Agc_ResourcefulSmith_Non_Prm_Mp_Vid.gif
Sacred Siphoner,Shroud,Unit,Uncommon,"10,000","The most talented among us can beseech the void for resources, and barely even lose themselves in the process.","Defender
After this unit enters the field, put a card from your singularity into your hand.
Aftermath: Put a card from your singularity into your hand.",5,3.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_SacredSiphoner/Shr_SacredSiphoner_Non_Ucm_Fe_Img.png,10999,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_SacredSiphoner/Shr_SacredSiphoner_Non_Prm_Mp_Img.png
Shady Merchant,Universal,Unit,Uncommon,"10,000","No returns, no questions, no demonstrations. You break it, you buy it, if you survive.",Muster: Swap a random card in your bank with a random card in the enemy bank.,3,4.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ShadyMerchant/Unv_ShadyMerchant_Non_Ucm_Fe_Img.png,11001,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ShadyMerchant/Unv_ShadyMerchant_Non_Prm_Mp_Img.png
Signal Jammer,Marcolian,Relic,Rare,"3,500","A favorite of Lemieux, these devices shut down enemy communication channels, which in turn allows his Commandos to thrive in the confusion.",Each player can only draw one card per turn.,4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SignalJammer/Mcl_SignalJammer_Non_Rar_Fe_Img.png,11003,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_SignalJammer/Mcl_SignalJammer_Non_Prm_Mp_Img.png
Singularity Portal,Shroud,Effect,Rare,"3,500","A tear in space, materializing just as swiftly as it vanishes.",Put cards from your deck into your singularity equal to the number of cards in your hand.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_SingularityPortal/Shr_SingularityPortal_Non_Rar_Fe_Img.png,11005,@VINOGRDOVA,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_SingularityPortal/Shr_SingularityPortal_Non_Prm_Mp_Vid.gif
Student Of Shoshanna,Earthen,Unit,Common,"60,000",Many among the Earthen believe studying the lessons of the past holds the key to our future.,"After you play a unit, this unit gains +1/+1 and heal yourself for 1.",2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_StudentOfShoshanna/Ert_StudentOfShoshanna_Non_Cmn_Fe_Img.png,11008,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_StudentOfShoshanna/Ert_StudentOfShoshanna_Non_Prm_Mp_Img.png
The Flat Circle,Shroud,Effect,Common,"60,000","In time, you will learn the meaning of eternity.",Put target non-paragon card into its owner’s hand.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_TheFlatCircle/Shr_TheFlatCircle_Non_Cmn_Fe_Img.png,11010,@_CHRISBJERRE,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_TheFlatCircle/Shr_TheFlatCircle_Non_Prm_Mp_Vid.gif
The Great Enigma,Shroud,Unit,Legendary,"1,000",It is near impossible to fight that which you can not see. It is impossible to fight that which you can not hope to comprehend.,"Battle Ready, Evasive
As an additional cost to play this unit, destroy a friendly unit and relic.
After this unit deals damage to the enemy, play a random card from their hand.",6,5.0,6.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_TheGreatEnigma/Shr_TheGreatEnigma_Non_Lgn_Fe_Img.png,11013,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_TheGreatEnigma/Shr_TheGreatEnigma_Non_Prm_Mp_Img.png
Unseen Commando,Marcolian,Unit,Uncommon,"10,000","Hand selected by legendary commando Lemieux, few rival the skills of Mars' finest.","This unit can't be targeted by enemy abilities or effects.
Assault: This unit gains +1/+1.",2,2.0,1.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_UnseenCommando/Mcl_UnseenCommando_Non_Ucm_Fe_Img.png,11015,@DHENZELOBENG,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_UnseenCommando/Mcl_UnseenCommando_Non_Prm_Mp_Img.png
Valerusi Cohorts,Kathari,Unit,Common,"60,000","The Cohorts of Gnaeus Valerus Alpha are a force to be reckoned with on the battlefield. Lacking any fear of death, they are an unrelenting wave of grey.","At the start of your turn, if you don't control a Gnaeus’ Vanguard, create a 2/2 Gnaeus’ Vanguard that immediately attacks.",4,4.0,4.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiCohorts/Kat_ValerusiCohorts_Non_Cmn_Fe_Img.png,11017,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiCohorts/Kat_ValerusiCohorts_Non_Prm_Mp_Img.png
Valerusi Standard Bearer,Kathari,Unit,Uncommon,"10,000","“My friends, it is a fine day to die.” - Aramus Beta, Standard Bearer for the 8th Valerusi Cohort","When another friendly Clone enters the field, it gains +1/+1.",2,1.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiStandardBearer/Kat_ValerusiStandardBearer_Non_Ucm_Fe_Img.png,11019,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiStandardBearer/Kat_ValerusiStandardBearer_Non_Prm_Mp_Img.png
Valerusi Striker,Kathari,Unit,Common,"60,000",Many Kathari give a wide berth to the wild nature of the Strikers. Are they deadly? Most certainly. Effective? Sometimes.,"If you control two Valerusi Strikers, this card has +1/+0.
If you control three or more Valerusi Strikers, this card has +2/+0 and Evasive instead.",1,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiStriker/Kat_ValerusiStriker_Non_Cmn_Fe_Img.png,11021,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ValerusiStriker/Kat_ValerusiStriker_Non_Prm_Mp_Img.png
Vengeful Ally,Universal,Unit,Common,"60,000",Love is not the most powerful force in the world. Spite is.,"After another friendly unit is destroyed, this unit gains +1/+1.",2,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_VengefulAlly/Unv_VengefulAlly_Non_Cmn_Fe_Img.png,11023,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_VengefulAlly/Unv_VengefulAlly_Non_Prm_Mp_Img.png
Virulent Spores,Earthen,Effect,Uncommon,"10,000","Deadly to the touch, let alone if inhaled. The Earthen learn to use all their resources in defense of their land.",All units gain Decay.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_VirulentSpores/Ert_VirulentSpores_Non_Ucm_Fe_Img.png,11025,@NACHOYAGUE,https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_VirulentSpores/Ert_VirulentSpores_Non_Prm_Mp_Vid.gif
Wannabe Warlord,Universal,Unit,Rare,"3,500","This guy took the phrase “Dream Big” very, very seriously.","This unit can’t attack.
If this unit’s attack is over 10, it loses “This unit can’t attack.” and gains:
Armed
Evasive
This unit may attack twice per turn.
On attack, draw a card.",1,0.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_WannabeWarlord/Unv_WannabeWarlord_Non_Rar_Fe_Img.png,11028,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_WannabeWarlord/Unv_WannabeWarlord_Non_Prm_Mp_Img.png
Wisened Elder,Earthen,Unit,Common,"60,000","Not all of us are here to fight, but we can all find a way to help",Decay,2,2.0,5.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_WisenedElder/Ert_WisenedElder_Non_Cmn_Fe_Img.png,11030,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_WisenedElder/Ert_WisenedElder_Non_Prm_Mp_Img.png
Hardlinked Pilot,Augencore,Unit,Prime,100,"Trained & specifically bionically enhanced to be up to the task, these are the men & women who pilot the Augencore’s most devastating machines.","Shielded, Salvage 1
If this unit is upgraded, it gains Defender.",1,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.us-east-1.amazonaws.com/Cards/Agc_HardlinkedPilotComicVariant/Agc_HardlinkedPilotComicVariant_Non_Prm_Ult_Img.png,11106,@_CHRISBJERRE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_HardlinkedPilot/Agc_HardlinkedPilot_Non_Prm_Mp_Img.png
Kill Switch,Augencore,Upgrade,Prime,100,"Desperately outnumbered and beset upon from all sides, the valiant Pilot had one last trick up their sleeve.","After upgraded unit is destroyed, destroy target enemy unit.
This upgrade can’t be Salvaged.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.us-east-1.amazonaws.com/Cards/Agc_KillSwitchComicVariant/Agc_KillSwitchComicVariant_Non_Prm_Ult_Img.png,11107,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_KillSwitch/Agc_KillSwitch_Non_Prm_Mp_Img.png
Security Officer,Augencore,Unit,Prime,100,"Trained to repel boarders & protect the secrets aboard Augencore vessels at all costs, the Security Corps are not to be taken lightly.","After an upgrade is attached to this unit, it gains +1/+1 and Shielded.",2,2.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.us-east-1.amazonaws.com/Cards/Agc_SecurityOfficerComicVariant/Agc_SecurityOfficerComicVariant_Non_Prm_Ult_Img.png,11108,@TAEHOONPARK9,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_SecurityOfficer/Agc_SecurityOfficer_Non_Prm_Mp_Img.png
"Mirielle, The Ghost Of Mars",Marcolian,Unit,Legendary,"1,315","Lemieux’s most trusted confidant & asset, Mirielle has infiltrated countless splinter cells, leading to their timely demise.","Muster: Destroy up to three other target friendly units. For each unit that was destroyed, play a random unit with cost 1 higher than the destroyed unit from your deck.",3,1.0,3.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.us-east-1.amazonaws.com/Cards/Mcl_MirielleTheGhostOfMars/Mcl_MirielleTheGhostOfMars_Non_Lgn_Fe_Img.png,100100001,@VINOGRDOVA,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.us-east-1.amazonaws.com/Cards/Mcl_MirielleTheGhostOfMars/Mcl_MirielleTheGhostOfMars_Non_Prm_Mp_Img.png
